,MVO,Decision Tree,Decision Tree (tuned),Random Forest,Random Forest (tuned),Gradient boosting,Gradient boosting (tuned)
2020-07-20,0.0025655852066185274,0.004898353866355793,0.0018449105428950834,0.004121158221633437,0.002103758988729654,0.0033219509967623447,0.0020170040952906376
2020-07-21,0.0010971511786434568,0.004606850802448488,0.005964463432512566,0.004958573186848277,0.005884477368252303,0.005087757112162159,0.0059204654948132075
2020-07-22,0.0018205529886847964,0.002187577689067677,0.0028727959907011956,0.002222163767542455,0.0028425583033463283,0.002617909960787399,0.002919378667168901
2020-07-23,-0.0015364116131853052,-0.0012857663345920425,-0.0018904030580077385,-0.0010946070327980304,-0.0019063352814303659,-0.002332514067359031,-0.0020043661389631253
2020-07-24,-0.001996589172343641,-0.0012084973788979235,-0.0033158308052677306,-0.001511203582642803,-0.0031984779165737604,-0.0028724419431856315,-0.003321704494466754
2020-07-27,0.0014086326710523356,0.0058595888435580435,0.005154633349146491,0.005787764530816399,0.0052944281655409355,0.006006144930749533,0.005274068190368225
2020-07-28,-0.0011186004763812584,-0.0035491370246183256,-0.0034043110045986246,-0.003451534230684437,-0.003455347947324605,-0.0035836133752018776,-0.003467601230667878
2020-07-29,0.0038833145428394137,0.0068687560016388,0.008862257088645756,0.007173267173357921,0.00879470587232185,0.008297572608429619,0.008899702169770167
2020-07-30,8.222244359054869e-05,-0.0020754818030267463,-0.004378641113505769,-0.0024935675304983513,-0.004292671930846983,-0.0038922010441694087,-0.00434323584773025
2020-07-31,0.001468016750662097,-0.0010338747372938837,-0.0024736056560263914,-0.0014322634301736888,-0.002487808208563822,-0.0024094154963055833,-0.0024705436558977297
2020-08-03,0.0022384626085266896,0.005612309291330296,0.00504379035217622,0.006338923254539816,0.005261551207797197,0.005739251890323082,0.005462103345908064
2020-08-04,0.0023764129027600547,0.003946998425940252,0.004660195537132546,0.004893421618207095,0.004622093762005225,0.004784500120665253,0.004769969283194788
2020-08-05,0.0001208613787137562,0.005628988495657687,0.00474968904927698,0.005597884572042911,0.00487044624137618,0.005228535319050565,0.005073148686715106
2020-08-06,0.0021862965531204643,0.0009907603268258683,0.0017226660630939952,0.001729452427687442,0.0017096405516752273,0.0018319230210659552,0.0017620875602271722
2020-08-07,-0.0007275439503915144,0.0003151167894411186,-0.00028473170666246355,-0.0012687473915653981,-9.038736087563161e-05,6.785013447649412e-05,0.0001365464268543432
2020-08-10,-0.00010176380222122548,0.0031074225197825272,0.002517587416395993,0.0026139167025527365,0.0026691991948806027,0.0030225839506918713,0.002889176373652478
2020-08-11,-0.00393834131098624,-0.0010199399324066268,-0.0009574801589608335,-0.0010389670801923367,-0.0010820827413067188,-0.0014959034210384188,-0.001193101669638974
2020-08-12,0.001402497751863639,0.005463682249624199,0.005109938317840432,0.0061853553657808934,0.005358714763210172,0.005921113081348373,0.005498305883952731
2020-08-13,-0.003051164719880281,-0.0028154803221470417,-0.0029263889125471557,-0.00272948280098705,-0.0029684656074204906,-0.003026866992669847,-0.003134159212215208
2020-08-14,-0.0007881336554644273,-0.00024330882308254556,-0.0004392003814561332,-0.0009523420226864054,-0.0005226137464674243,-0.0009549802793226545,-0.0006361252844657768
2020-08-17,0.0020011991565590877,0.002360272392366619,0.0023467992753770286,0.003055695507843302,0.002377783929901817,0.002455305970526651,0.002375830268962562
2020-08-18,0.0014537813736049741,-0.0010970774263197429,-0.0003420866381755942,-0.0005031772313004467,-0.0004474973577501231,-0.0006733886316207956,-0.0005788604378349224
2020-08-19,-0.0020465677553935953,-0.0032874525932074417,-0.0035045051949854694,-0.003787039667898013,-0.0034927093309540915,-0.0035713157619957107,-0.0035731800405098134
2020-08-20,0.0020157105088390416,-0.001583726775891112,-0.0012853076610907011,-0.0010716588816491383,-0.0012356465019823393,-0.0009193594002361362,-0.001222133586982429
2020-08-21,0.0013431603026136437,8.065049225108596e-05,0.0002086085387060618,0.0004673087070473114,0.00018431518130525488,0.0004517808843235474,0.00021568491206000245
2020-08-24,0.0017999662881494655,0.007300888359285525,0.006563985220561527,0.007121291376916788,0.006776127095923276,0.007210117049900348,0.007079995815620788
2020-08-25,-0.0008984242866344541,0.0011480315919063,0.000762141392390905,0.001021368031640428,0.0007353268144733011,0.00045719654558889155,0.0005925244322291055
2020-08-26,0.0018797888199843917,0.0005605977107533726,0.00036284732465421125,0.0010495381321963555,0.0005317638709411207,0.0008261309602379161,0.0005024588700862677
2020-08-27,-0.002164662008291371,-0.00010777239639384614,-0.0008092980180404762,-0.0014735223577532833,-0.0007628234681744326,-0.000835432730858235,-0.000748548473988655
2020-08-28,0.002603409797768327,0.005175460130670193,0.005914698399388522,0.006365703721713656,0.005924889741456281,0.006517813511323608,0.006218826985249799
2020-08-31,0.001212458102596466,-0.005699609001931844,-0.0044358194378012715,-0.005289444784160687,-0.004509323065065081,-0.004660443678089278,-0.004619149039604328
